post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,reach,likes,shares,follows,comments,saves,unnamed_18,unnamed_19,unnamed_20
17887688385222036,17841472782106936,v2byvelare,,"lmk :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/10/2025 15:49,https://www.instagram.com/reel/DOcGHTuElaS/,IG reel,,Lifetime,9358,5167,182,1,4,8,7,,,
18074858084080763,17841472782106936,v2byvelare,,"shhh

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,09/10/2025 11:37,https://www.instagram.com/reel/DObpifJElGb/,IG reel,,Lifetime,91722,45069,1447,71,46,28,115,,,
18078089566950108,17841472782106936,v2byvelare,,"last 3 are sneak peaks

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",13,09/10/2025 4:12,https://www.instagram.com/reel/DOa2sDHDuF6/,IG reel,,Lifetime,17976,10887,355,19,12,20,16,,,
17920134117173548,17841472782106936,v2byvelare,,"black cheetah print hoodie :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",14,09/09/2025 19:10,https://www.instagram.com/reel/DOZ4tDQDMEX/,IG reel,,Lifetime,31122,18752,408,29,42,6,26,,,
18529918312063705,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",14,09/09/2025 19:06,https://www.instagram.com/reel/DOZ4Ja9DOfe/,IG reel,,Lifetime,23031,12578,473,100,15,7,25,,,
17842519095572803,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",11,09/09/2025 19:04,https://www.instagram.com/reel/DOZ1PaQDGNx/,IG reel,,Lifetime,8996,6737,74,7,6,0,4,,,
17917871073173236,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,09/09/2025 15:29,https://www.instagram.com/reel/DOZfYvfEjcn/,IG reel,,Lifetime,8900,5162,163,6,3,1,10,,,
17966196092952499,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/09/2025 15:26,https://www.instagram.com/reel/DOZe5x0krGR/,IG reel,,Lifetime,14753,7810,402,30,13,17,31,,,
18018326126583670,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/09/2025 11:58,https://www.instagram.com/reel/DOZHL75km3h/,IG reel,,Lifetime,9711,5242,190,7,4,6,8,,,
18523308874020230,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/09/2025 4:36,https://www.instagram.com/reel/DOYUl7QDUem/,IG reel,,Lifetime,17705,10018,294,11,5,23,15,,,
